epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19023.1,1.82248,1.0615,0.9283,0.88845,0.8851,0.90048,0.52209,1.62157,0.89448,0.93565,0.0011684,0.0011684,0.0011684
44,19362,1.8277,1.04293,0.95341,0.87614,0.88889,0.88877,0.39395,1.80001,0.96115,0.94292,0.0011486,0.0011486,0.0011486
45,19727.3,1.87264,1.09112,1.0114,0.85491,0.87323,0.87251,0.47559,1.87608,0.92954,0.98733,0.0011288,0.0011288,0.0011288
46,20095.1,1.98273,1.09748,0.99079,0.87766,0.88889,0.89263,0.4854,1.64754,0.94592,0.93751,0.001109,0.001109,0.001109
47,20511.2,1.7857,1.02032,0.9414,0.87742,0.85185,0.8708,0.45193,1.71056,0.92493,0.93604,0.0010892,0.0010892,0.0010892
48,20889.5,1.94242,1.09387,0.99292,0.8553,0.87599,0.84327,0.45093,1.69129,0.88758,0.93459,0.0010694,0.0010694,0.0010694
49,21314.2,1.86141,1.06004,0.99996,0.78997,0.83615,0.82646,0.47291,1.58091,0.91118,0.91884,0.0010496,0.0010496,0.0010496
50,21679.9,1.85257,1.01811,0.96673,0.87409,0.85185,0.85862,0.4552,1.60002,0.90246,0.93558,0.0010298,0.0010298,0.0010298
51,22085.3,1.8166,0.99243,0.9754,0.87909,0.80809,0.85081,0.47236,1.67366,1.03988,0.95089,0.00101,0.00101,0.00101
52,22525.8,1.72523,1.00964,0.94018,0.8572,0.88889,0.87603,0.47323,1.63117,0.98063,0.92961,0.0009902,0.0009902,0.0009902
53,22906.7,1.82094,0.99585,0.98906,0.84924,0.88889,0.87748,0.47376,1.6176,0.83031,0.92927,0.0009704,0.0009704,0.0009704
54,23413.1,1.8819,1.05378,1.0075,0.86539,0.88889,0.87985,0.49333,1.50281,0.94502,0.93421,0.0009506,0.0009506,0.0009506
55,23859.3,1.7403,0.96167,0.95711,0.88277,0.88889,0.90547,0.50889,1.51644,0.91588,0.95414,0.0009308,0.0009308,0.0009308
56,24350.4,1.70497,0.97027,0.94445,0.88003,0.85185,0.88737,0.44794,1.67192,0.85174,0.94111,0.000911,0.000911,0.000911
57,24747.6,1.70172,0.9943,0.98821,0.87522,0.88889,0.86834,0.41975,1.68761,0.9223,0.9384,0.0008912,0.0008912,0.0008912
58,25194.4,1.73008,0.98685,0.9759,0.85375,0.86512,0.87873,0.44412,1.74174,0.97529,0.93514,0.0008714,0.0008714,0.0008714
59,25695.6,1.81307,1.01572,0.97399,0.92196,0.87543,0.87306,0.49336,1.60974,0.96193,0.9359,0.0008516,0.0008516,0.0008516
60,26146.3,1.6819,0.96276,0.9258,0.88644,0.88889,0.89049,0.52966,1.4824,0.86565,0.90763,0.0008318,0.0008318,0.0008318
61,26557.4,1.77034,0.95009,0.97579,0.88504,0.88889,0.91434,0.51702,1.67291,0.89565,0.95109,0.000812,0.000812,0.000812
62,27091.8,1.78649,0.95481,0.98248,0.88331,0.88889,0.90173,0.53538,1.541,0.88002,0.93951,0.0007922,0.0007922,0.0007922
63,27502.3,1.67482,0.93432,0.91737,0.88034,0.85185,0.8971,0.46247,1.76378,0.88529,0.94943,0.0007724,0.0007724,0.0007724
64,27919,1.66894,0.94196,0.95842,0.88367,0.88889,0.90759,0.44829,1.71051,0.9214,0.94487,0.0007526,0.0007526,0.0007526
65,28339.3,1.69618,0.98831,0.97003,0.89207,0.91858,0.92401,0.43535,1.74035,0.90456,0.94657,0.0007328,0.0007328,0.0007328
66,28817.8,1.67536,1.01563,0.93387,0.87102,0.88889,0.90861,0.48835,1.55999,0.90368,0.92047,0.000713,0.000713,0.000713
67,29248.8,1.8039,1.0262,0.98686,0.89223,0.88889,0.87097,0.38575,1.85289,1.06814,0.96383,0.0006932,0.0006932,0.0006932
68,29662,1.76573,0.97174,0.9595,0.88284,0.88889,0.85582,0.48768,1.56469,0.92348,0.9326,0.0006734,0.0006734,0.0006734
69,30126.4,1.73328,0.9826,1.00961,0.88171,0.88889,0.85588,0.4913,1.42828,0.88515,0.90506,0.0006536,0.0006536,0.0006536
70,30577,1.66951,0.92905,0.90933,0.82643,0.88192,0.84724,0.49496,1.51776,0.84936,0.91833,0.0006338,0.0006338,0.0006338
71,31018,1.70033,0.91807,0.93804,0.8483,0.88889,0.89574,0.51924,1.44922,0.86359,0.92321,0.000614,0.000614,0.000614
72,31441.9,1.7071,0.92476,0.92719,0.87655,0.85185,0.88363,0.48282,1.60283,0.89076,0.93124,0.0005942,0.0005942,0.0005942
73,31850.1,1.68378,0.87103,0.98372,0.87775,0.85185,0.87779,0.47417,1.55229,0.89708,0.93941,0.0005744,0.0005744,0.0005744
74,32268.6,1.69617,0.90563,0.92487,0.88091,0.88889,0.89088,0.48093,1.54238,0.85453,0.91911,0.0005546,0.0005546,0.0005546
75,32725.6,1.55912,0.8523,0.91164,0.91885,0.92593,0.90507,0.51021,1.60885,0.81742,0.92929,0.0005348,0.0005348,0.0005348
76,33147.9,1.56385,0.86286,0.88426,0.88471,0.88889,0.88141,0.50664,1.49099,0.86257,0.91878,0.000515,0.000515,0.000515
77,33555.6,1.5797,0.81995,0.87899,0.88383,0.88889,0.87496,0.53104,1.41474,0.8532,0.91514,0.0004952,0.0004952,0.0004952
78,34031.9,1.56384,0.86214,0.89596,0.88361,0.88889,0.89785,0.48485,1.51132,0.82641,0.92277,0.0004754,0.0004754,0.0004754
79,34466.3,1.5538,0.86781,0.92473,0.89203,0.91821,0.89375,0.47679,1.53614,0.89038,0.9248,0.0004556,0.0004556,0.0004556
80,34867.5,1.60339,0.86377,0.92569,0.88543,0.88889,0.88308,0.51361,1.49802,0.8171,0.92392,0.0004358,0.0004358,0.0004358
81,35305.7,1.59312,0.87631,0.87713,0.88037,0.88889,0.8739,0.45244,1.62559,0.93774,0.92277,0.000416,0.000416,0.000416
82,35746.4,1.62807,0.89432,0.93379,0.88113,0.88889,0.88557,0.47825,1.50543,0.85943,0.92056,0.0003962,0.0003962,0.0003962
83,36172.2,1.51268,0.78425,0.87936,0.887,0.88889,0.90434,0.47429,1.59765,0.84756,0.92825,0.0003764,0.0003764,0.0003764
